# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	0	291.824099331	24	32	ApicalDendrite	215.407699826,
L1D1	8	387.843604537	23	79	ApicalDendrite	215.407699826,
L1D1	14	308.790201578	85	7	Dendrite	212.647085456,
L1D1_ongoing	3	311.163951538	24	42	ApicalDendrite	169.482316965,
L1D1_ongoing	5	215.187070735	95	18	Dendrite	141.307072499,
L1D1_ongoing	10	378.823245807	23	76	ApicalDendrite	108.210805829,227.247394755,
L1D1_ongoing	11	312.888941435	85	8	Dendrite	159.062353713,
L1D1_ongoing	17	357.894941705	86	24	Dendrite	25.3835488956,
L1D1_ongoing	22	196.111627637	110	60	Dendrite	179.538029559,
L1D1_ongoing	24	177.736230165	77	53	Dendrite	112.731183278,
L1D1_ongoing	27	180.628272177	58	25	Dendrite	108.867622636,
L1D1_ongoing	29	211.469245937	94	14	Dendrite	19.0380291992,
L1D1_ongoing	30	290.648964191	86	4	Dendrite	16.5218662745,228.562755051,
L1D1_ongoing	32	304.105197592	34	20	ApicalDendrite	34.8270576987,
L1D1_ongoing	35	146.408417734	59	38	Dendrite	195.621918962,230.889879219,
L1D1_ongoing	43	131.717077661	59	35	Dendrite	10.6818323426,
L1D2_ongoing	6	264.375441408	96	33	Dendrite	106.23809126,
L1D2_ongoing	9	247.526609185	96	28	Dendrite	17.7885788777,221.649922999,
L1D2_ongoing	16	371.430676504	23	71	ApicalDendrite	99.6881354321,
L1D2_ongoing	19	53.6153425996	44	2	ApicalDendrite	214.833822852,222.014324841,
L1D2_ongoing	20	32.0547888707	62	5	Dendrite	218.19479365,
L1D2_ongoing	35	190.450229983	95	5	Dendrite	236.39800589,
L1D2_ongoing	48	68.0654772927	91	3	Dendrite	93.7784573927,
L1D2_ongoing	51	70.4389846043	70	8	Dendrite	214.871467192,
L1D2_ongoing	61	181.830908981	58	26	Dendrite	238.50112507,
L1D2_ongoing	64	333.504023926	86	15	Dendrite	131.741950066,
L1D2_ongoing	66	337.091201147	85	16	Dendrite	192.535258641,
L1D2_ongoing	72	189.866934116	14	109	ApicalDendrite	82.7325833089,
L1D2_ongoing	89	156.100369627	110	45	Dendrite	181.034545792,
L1D2_ongoing	90	132.762208873	111	29	Dendrite	42.9957280123,
L1D2_ongoing	91	113.469952322	110	21	Dendrite	75.3476345725,
L1D2_ongoing	96	242.796995291	44	65	ApicalDendrite	7.25252520268,
L1D2_ongoing	97	220.4288332	44	57	ApicalDendrite	182.323285636,
L1D2_ongoing	98	241.926059381	44	64	ApicalDendrite	185.025366265,
L1D2_ongoing	106	228.957851565	44	60	ApicalDendrite	7.32720466364,
L1D2_ongoing	113	70.7797931274	14	16	ApicalDendrite	60.8986588257,
L1D2_ongoing	117	85.8570689541	81	25	Dendrite	57.1542261543,
L1D2_ongoing	122	120.002974553	127	28	Dendrite	106.648457043,
L1D2_ongoing	124	145.398590963	42	18	ApicalDendrite	98.189241329,115.424187367,
L1D2_ongoing	128	282.643515613	94	51	Dendrite	156.860147039,
L1D2_ongoing	129	266.564409171	94	45	Dendrite	147.629518388,
L1D2_ongoing	130	293.546479247	94	55	Dendrite	235.755573796,
L1D2_ongoing	136	263.593112097	94	43	Dendrite	247.618001103,
L1D2_ongoing	139	201.714084222	77	63	Dendrite	115.718404358,
L1D2_ongoing	144	286.585144126	96	42	Dendrite	88.447217111,
L1D2_ongoing	147	179.843438655	45	50	ApicalDendrite	8.60427845682,
L1D2_ongoing	151	206.900195489	45	60	ApicalDendrite	244.218200665,
L1D2_ongoing	152	204.186264374	45	59	ApicalDendrite	143.943804253,
L1D2_ongoing	156	155.453392384	41	25	ApicalDendrite	88.6047691597,
L1D2_ongoing	160	308.504774332	24	40	ApicalDendrite	40.4524924876,
L1D2_ongoing	168	201.856755112	58	31	Dendrite	66.8944160152,198.692107482,
L1D2_ongoing	176	221.716176443	95	22	Dendrite	155.299454862,
