# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	1	330.469511846	34	29	ApicalDendrite	213.774210105,
L1D1	4	246.147502303	84	83	Dendrite	216.50466996,
L1D1	10	378.823245807	23	76	ApicalDendrite	216.50466996,
L1D1	30	290.648964191	86	4	Dendrite	213.774210105,
L1D1	36	173.099511536	58	23	Dendrite	213.774210105,
L1D1	39	217.602440516	44	56	ApicalDendrite	214.152379172,
L1D1	42	279.629535611	84	97	Dendrite	213.752002614,
L1D1_ongoing	1	330.469511846	34	29	ApicalDendrite	247.229635846,
L1D1_ongoing	2	305.281110126	24	39	ApicalDendrite	40.6658045187,
L1D1_ongoing	12	321.966331636	85	11	Dendrite	45.4733266982,114.121559062,
L1D1_ongoing	19	247.526609185	96	28	Dendrite	221.904468293,
L1D1_ongoing	28	237.773797135	96	24	Dendrite	211.777049953,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	21.0552409529,
L1D1_ongoing	34	145.398590963	42	18	ApicalDendrite	19.9838210783,
L1D1_ongoing	41	293.430417292	85	2	Dendrite	182.321345088,
L1D2_ongoing	1	257.727229009	23	15	ApicalDendrite	90.91731613,157.031596652,
L1D2_ongoing	4	250.414676578	96	29	Dendrite	85.3582606222,
L1D2_ongoing	5	262.234352036	96	32	Dendrite	114.816591815,
L1D2_ongoing	14	374.561790039	23	73	ApicalDendrite	228.953719301,
L1D2_ongoing	15	377.43324482	23	75	ApicalDendrite	110.825277925,134.614391774,
L1D2_ongoing	19	53.6153425996	44	2	ApicalDendrite	25.594673415,205.507859743,
L1D2_ongoing	21	43.2322349937	63	5	Dendrite	238.935214706,
L1D2_ongoing	22	12.777788875	55	4	Dendrite	243.074120512,
L1D2_ongoing	24	35.5815340913	76	2	Dendrite	54.4149738869,
L1D2_ongoing	35	190.450229983	95	5	Dendrite	33.799528007,
L1D2_ongoing	38	159.959668842	92	39	Dendrite	50.107637343,
L1D2_ongoing	46	60.9284398042	65	4	Dendrite	4.61663437269,98.133877346,
L1D2_ongoing	58	178.444533986	58	24	Dendrite	26.0707438019,116.992838888,
L1D2_ongoing	59	180.628272177	58	25	Dendrite	34.9399491644,
L1D2_ongoing	64	333.504023926	86	15	Dendrite	52.8290885084,
L1D2_ongoing	65	332.367917	85	15	Dendrite	105.121991539,248.777491815,
L1D2_ongoing	73	195.757698825	14	111	ApicalDendrite	156.763536339,
L1D2_ongoing	91	113.469952322	110	21	Dendrite	206.009628522,
L1D2_ongoing	96	242.796995291	44	65	ApicalDendrite	87.7358726784,
L1D2_ongoing	97	220.4288332	44	57	ApicalDendrite	247.771754412,
L1D2_ongoing	99	213.205237232	44	55	ApicalDendrite	32.8087802498,
L1D2_ongoing	100	235.610730721	44	62	ApicalDendrite	91.6816019496,
L1D2_ongoing	106	228.957851565	44	60	ApicalDendrite	81.9879299466,
L1D2_ongoing	114	62.5806136917	88	3	Dendrite	62.7830858061,
L1D2_ongoing	121	238.375732092	84	80	Dendrite	112.84218952,162.398936869,
L1D2_ongoing	124	145.398590963	42	18	ApicalDendrite	64.44592655,
L1D2_ongoing	130	293.546479247	94	55	Dendrite	157.866483341,
L1D2_ongoing	134	272.536424008	94	48	Dendrite	153.182935307,
L1D2_ongoing	135	294.45361314	94	56	Dendrite	68.9556496605,
L1D2_ongoing	137	279.184780698	94	50	Dendrite	221.494971695,
L1D2_ongoing	139	201.714084222	77	63	Dendrite	6.53345365018,
L1D2_ongoing	142	276.641891789	96	38	Dendrite	77.2842669545,
L1D2_ongoing	146	200.159883271	45	57	ApicalDendrite	164.311963148,
L1D2_ongoing	148	187.065508945	45	53	ApicalDendrite	16.0993578076,81.2700013014,
L1D2_ongoing	154	167.518034835	45	46	ApicalDendrite	116.096810869,
L1D2_ongoing	177	94.1159262761	77	20	Dendrite	56.9125226438,140.278554804,
L1D2_ongoing	178	85.3072305541	59	22	Dendrite	201.178820051,
L1D2_ongoing	187	202.828848566	44	52	ApicalDendrite	159.543430977,
L1D2_ongoing	189	31.6856568604	118	3	Dendrite	239.547955786,
L1D2_ongoing	190	97.1485188528	129	28	Dendrite	118.495430262,
L1D2_ongoing	213	227.033509596	94	23	Dendrite	34.0606416738,
L1D2_ongoing	221	221.657131213	94	20	Dendrite	19.4230817866,121.651292304,
L1D2_ongoing	223	202.89225128	94	9	Dendrite	237.810472647,
L1D2_ongoing	224	198.814909871	94	7	Dendrite	133.568341179,
L1D2_ongoing	232	93.9633841363	113	18	Dendrite	64.2746468623,
L1D2_ongoing	235	121.241080518	104	41	Dendrite	129.33518635,
L1D2_ongoing	236	109.506883703	105	40	Dendrite	93.8764049128,
L1D2_ongoing	237	128.545485104	69	34	Dendrite	188.778879102,
L1D2_ongoing	243	214.05244586	45	63	ApicalDendrite	216.247069081,
L1D2_ongoing	244	215.794133932	45	64	ApicalDendrite	121.370678811,
L1D2_ongoing	252	125.621917375	74	37	Dendrite	109.670231283,
L1D2_ongoing	253	186.554462538	110	56	Dendrite	71.1899994716,166.912560221,
L1D2_ongoing	257	152.512242597	58	17	Dendrite	249.730907376,
L1D2_ongoing	260	161.529957115	58	20	Dendrite	98.7898354062,
L1D2_ongoing	267	150.076245849	59	39	Dendrite	76.5759846324,
L1D2_ongoing	268	48.280205519	7	11	ApicalDendrite	135.042450952,
L1D2_ongoing	270	85.0957843204	99	10	Dendrite	243.073201753,
L1D2_ongoing	281	199.741718316	77	62	Dendrite	46.2851075554,
L1D2_ongoing	284	166.255947781	77	49	Dendrite	104.232279973,
L1D2_ongoing	286	168.155246456	77	50	Dendrite	91.3577908252,
L1D2_ongoing	287	153.161909076	77	44	Dendrite	34.2530431284,
L1D2_ongoing	288	171.68987475	77	51	Dendrite	132.240586406,
L1D2_ongoing	289	144.877877409	77	41	Dendrite	47.5221574988,
L1D2_ongoing	293	147.824915015	77	42	Dendrite	191.165327767,
L1D2_ongoing	298	115.085819521	88	29	Dendrite	173.732863338,
L1D2_ongoing	303	155.366057295	84	44	Dendrite	33.4866479887,
L2D1_ongoing	31	19.2731960804	130	5	Dendrite	108.708292784,
L2D1_ongoing	37	8.30650848773	1	4	ApicalDendrite	9.87709603071,
L2D1_ongoing	44	35.7974752533	50	0	Dendrite	241.218756484,
L2D1_ongoing	52	60.016629929	10	10	ApicalDendrite	144.466060745,
L2D1_ongoing	77	59.3231310082	7	20	ApicalDendrite	243.305074526,
L2D1_ongoing	94	89.2614107567	103	33	Dendrite	51.8061419789,
L2D1_ongoing	110	87.2272826615	128	23	Dendrite	216.077153099,
L2D1_ongoing	152	172.466067788	9	66	ApicalDendrite	190.545158582,
L2D1_ongoing	189	338.166750054	38	2	ApicalDendrite	167.189775085,
L2D1_ongoing	238	81.4662617631	129	23	Dendrite	170.847316229,
L2D1_ongoing	240	50.6792959387	105	10	Dendrite	117.694101257,
L2D1_ongoing	241	61.5313903712	104	13	Dendrite	178.917720759,
L2D1_ongoing	268	403.410498801	29	106	ApicalDendrite	1.71615885936,
L2D1_ongoing	273	369.634483309	29	95	ApicalDendrite	104.45718797,
L2D1_ongoing	276	376.576801426	29	97	ApicalDendrite	245.356024684,
L2D1_ongoing	281	87.9312784469	74	15	Dendrite	57.587096116,
L2D1_ongoing	310	351.022870674	37	10	ApicalDendrite	164.824363999,
L2D1_ongoing	322	188.110632182	35	25	ApicalDendrite	221.635774562,
L2D2	557	77.4006468971	59	3	Dendrite	282.513028995,
L2D2	565	134.079113011	57	8	Dendrite	295.485703034,
L2D2	969	82.044603265	4	4	ApicalDendrite	243.084127143,
L2D2	1212	304.105197592	34	20	ApicalDendrite	268.952277489,
L2D2	1396	80.0252173756	123	20	Dendrite	296.269661446,
L2D2	1542	149.974675521	45	40	ApicalDendrite	272.630586229,
L2D2	1596	182.078355351	31	8	ApicalDendrite	296.520794499,
L2D2	1705	116.88274489	127	27	Dendrite	221.761710058,
L2D2	1905	84.3630305838	88	15	Dendrite	282.513028995,
L2D2	1986	73.9874138024	120	21	Dendrite	241.205028532,
L2D2	2063	45.597089953	97	1	Dendrite	265.953226786,
L2D2	2112	52.2274802593	109	5	Dendrite	210.065997506,
L2D2	2224	271.631099977	34	5	ApicalDendrite	222.691635181,
L2D2_ongoing	4	136.246472898	81	50	Dendrite	91.4143293947,
L2D2_ongoing	55	120.577895209	81	43	Dendrite	232.007285694,
L2D2_ongoing	94	52.6556204893	105	11	Dendrite	189.202913778,
L2D2_ongoing	112	93.5454226199	98	15	Dendrite	88.337556423,
L2D2_ongoing	147	38.0040564848	103	1	Dendrite	182.321865124,
L2D2_ongoing	199	72.9367421138	104	19	Dendrite	58.2901604642,
L2D2_ongoing	206	61.7084444334	103	17	Dendrite	231.664959285,
L2D2_ongoing	212	87.7082961218	103	32	Dendrite	40.9915350191,
L2D2_ongoing	231	69.8945642055	129	18	Dendrite	247.809293733,
L2D2_ongoing	236	44.700049761	105	6	Dendrite	181.438613969,
L2D2_ongoing	250	68.9008234045	103	22	Dendrite	74.2289691908,
L2D2_ongoing	278	180.752740132	18	40	ApicalDendrite	187.165386691,
L2D2_ongoing	287	85.9414402777	60	29	Dendrite	11.0296233157,
L2D2_ongoing	290	101.632013952	132	17	Dendrite	51.8032930502,
L2D2_ongoing	304	75.0117043921	132	9	Dendrite	218.137622554,
L2D2_ongoing	311	57.2929768136	132	2	Dendrite	54.8665195477,
L2D2_ongoing	324	88.7657247487	60	31	Dendrite	75.3258641273,
L2D2_ongoing	343	152.016997713	110	42	Dendrite	227.526155324,
L2D2_ongoing	344	125.194318792	110	27	Dendrite	9.33929248835,
L2D2_ongoing	358	32.7399033498	63	0	Dendrite	64.3201872844,
L2D2_ongoing	362	46.1283170144	81	1	Dendrite	193.052161094,
L2D2_ongoing	378	44.730748546	81	0	Dendrite	208.80629501,
L2D2_ongoing	396	57.5352249432	77	4	Dendrite	72.8129729554,
L2D2_ongoing	420	169.832288371	72	27	Dendrite	145.732355322,
L2D2_ongoing	429	87.3349065051	45	16	ApicalDendrite	155.352948632,
L2D2_ongoing	463	111.966807367	14	59	ApicalDendrite	35.4224424457,
L2D2_ongoing	498	81.687966476	45	14	ApicalDendrite	88.1126687488,
L2D2_ongoing	525	78.037145771	59	5	Dendrite	45.6794836132,
L2D2_ongoing	540	114.845818681	57	3	Dendrite	53.4643815814,
L2D2_ongoing	569	105.212330227	57	0	Dendrite	203.151394856,
L2D2_ongoing	584	76.3679612983	56	3	Dendrite	86.2647163009,
L2D2_ongoing	598	129.038319685	59	34	Dendrite	180.063950703,
L2D2_ongoing	623	143.885838559	5	28	ApicalDendrite	181.662315281,
L2D2_ongoing	659	105.852388183	51	27	Dendrite	12.6923059453,
L2D2_ongoing	699	54.4307816468	127	4	Dendrite	141.348814373,
L2D2_ongoing	700	85.2798990502	128	22	Dendrite	243.702010867,
L2D2_ongoing	701	70.5770356868	128	13	Dendrite	65.4928546503,
L2D2_ongoing	707	104.885708725	4	14	ApicalDendrite	199.920266569,
L2D2_ongoing	778	46.5556418541	128	1	Dendrite	93.5616282314,
L2D2_ongoing	781	54.3938254201	3	14	ApicalDendrite	171.088295711,
L2D2_ongoing	789	46.2093761481	3	10	ApicalDendrite	28.2064171258,
L2D2_ongoing	790	65.8764214851	3	19	ApicalDendrite	217.851586805,
L2D2_ongoing	800	52.6492033013	127	3	Dendrite	46.6575100415,
L2D2_ongoing	825	40.9385439861	3	9	ApicalDendrite	60.96901084,
L2D2_ongoing	838	122.030760378	4	20	ApicalDendrite	160.061682884,
L2D2_ongoing	843	56.0080944748	7	18	ApicalDendrite	65.6123138589,
L2D2_ongoing	847	55.4690370251	128	6	Dendrite	172.168957473,
L2D2_ongoing	879	82.044603265	4	4	ApicalDendrite	172.730475999,
L2D2_ongoing	936	71.2818161587	124	21	Dendrite	216.807478796,
L2D2_ongoing	938	102.547432423	4	13	ApicalDendrite	118.481970985,
L2D2_ongoing	951	74.3453973046	131	12	Dendrite	77.3270481146,
L2D2_ongoing	964	45.1691204982	7	9	ApicalDendrite	153.461885303,
L2D2_ongoing	965	48.280205519	7	11	ApicalDendrite	247.167556731,
L2D2_ongoing	974	378.190487717	29	98	ApicalDendrite	141.71246776,
L2D2_ongoing	987	133.13614571	22	12	ApicalDendrite	229.0367222,
L2D2_ongoing	1010	100.910043961	20	1	ApicalDendrite	83.08575504,
L2D2_ongoing	1045	110.176619674	68	10	Dendrite	87.8674263065,
L2D2_ongoing	1068	144.279994947	78	45	Dendrite	111.640105048,
L2D2_ongoing	1070	145.772465583	78	46	Dendrite	168.503645591,
L2D2_ongoing	1107	149.801790587	60	53	Dendrite	78.7616654074,
L2D2_ongoing	1144	25.0219181748	119	4	Dendrite	105.980901222,
L2D2_ongoing	1161	30.203167035	126	2	Dendrite	31.9702720244,
L2D2_ongoing	1177	106.791462512	98	19	Dendrite	249.207269724,
L2D2_ongoing	1196	63.618967648	10	12	ApicalDendrite	233.820157879,
L2D2_ongoing	1222	142.323984694	91	41	Dendrite	64.6890239134,
L2D2_ongoing	1225	152.577091979	71	18	Dendrite	67.5666914377,
