# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	19	247.526609185	96	28	Dendrite	215.788296044,
L1D1_ongoing	3	311.163951538	24	42	ApicalDendrite	112.234028188,
L1D1_ongoing	9	402.661442126	23	84	ApicalDendrite	162.859508323,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	46.6323325988,
L1D1_ongoing	33	286.285495399	86	2	Dendrite	157.622887375,
L1D1_ongoing	38	414.333208238	29	110	ApicalDendrite	33.9847074974,
L1D2_ongoing	22	12.777788875	55	4	Dendrite	231.55122731,
L1D2_ongoing	32	172.20647626	93	1	Dendrite	153.743955268,
L1D2_ongoing	33	188.873378687	95	4	Dendrite	241.722195124,
L1D2_ongoing	38	159.959668842	92	39	Dendrite	49.1441633671,
L1D2_ongoing	48	68.0654772927	91	3	Dendrite	125.961360069,228.860694432,
L1D2_ongoing	54	88.0359075206	66	13	Dendrite	16.029393562,
L1D2_ongoing	55	116.845156417	91	29	Dendrite	118.68527408,
L1D2_ongoing	56	42.8617571811	108	3	Dendrite	249.791677053,
L1D2_ongoing	63	308.352766521	86	10	Dendrite	212.3890308,244.844514347,
L1D2_ongoing	71	179.999738836	14	106	ApicalDendrite	50.6011877556,
L1D2_ongoing	86	158.045519796	110	46	Dendrite	199.347920719,
L1D2_ongoing	92	197.138642639	91	65	Dendrite	32.0790432441,54.3653127302,91.1824764056,
L1D2_ongoing	93	179.673311314	91	57	Dendrite	83.2191586708,100.394160286,
L1D2_ongoing	99	213.205237232	44	55	ApicalDendrite	106.525696226,
L1D2_ongoing	108	227.34907043	44	59	ApicalDendrite	6.32378139269,
L1D2_ongoing	113	70.7797931274	14	16	ApicalDendrite	127.319653498,
L1D2_ongoing	130	293.546479247	94	55	Dendrite	202.884148563,
L1D2_ongoing	132	297.345471379	94	57	Dendrite	183.976845302,
L1D2_ongoing	133	269.779894602	94	47	Dendrite	81.7066137539,
L1D2_ongoing	137	279.184780698	94	50	Dendrite	58.7055036249,
L1D2_ongoing	151	206.900195489	45	60	ApicalDendrite	165.869816417,
L1D2_ongoing	153	165.419770396	45	45	ApicalDendrite	151.028507705,
L1D2_ongoing	162	297.091714945	24	35	ApicalDendrite	32.2367339685,
L1D2_ongoing	167	213.644813847	58	34	Dendrite	204.549756522,
L1D2_ongoing	178	85.3072305541	59	22	Dendrite	28.3712151122,
L1D2_ongoing	180	95.377674616	59	25	Dendrite	186.007606546,
L1D2_ongoing	184	120.332827609	92	27	Dendrite	125.753001226,
L1D2_ongoing	186	102.752589087	92	19	Dendrite	158.603890014,
L1D2_ongoing	187	202.828848566	44	52	ApicalDendrite	27.8357662788,
L1D2_ongoing	192	260.725946072	94	41	Dendrite	26.9408219095,
L1D2_ongoing	198	367.286913216	24	72	ApicalDendrite	90.7093996897,
L1D2_ongoing	200	204.859849659	94	10	Dendrite	73.5606504428,
L1D2_ongoing	205	198.62201058	96	12	Dendrite	112.580001834,141.737674677,
L1D2_ongoing	244	215.794133932	45	64	ApicalDendrite	212.738167706,
L1D2_ongoing	251	282.982372924	84	98	Dendrite	181.743893986,
L1D2_ongoing	268	48.280205519	7	11	ApicalDendrite	166.274560947,
L1D2_ongoing	269	107.483084507	110	17	Dendrite	207.965246866,
L1D2_ongoing	274	82.9057266918	99	9	Dendrite	80.8441698209,
L1D2_ongoing	278	247.822803338	94	36	Dendrite	80.7305956711,
L1D2_ongoing	285	198.244635912	77	61	Dendrite	119.231575439,
L1D2_ongoing	290	194.983326386	77	60	Dendrite	76.150720472,
L1D2_ongoing	294	87.3349065051	45	16	ApicalDendrite	112.771229832,
L1D2_ongoing	301	152.478100589	88	46	Dendrite	212.635033304,
L1D2_ongoing	303	155.366057295	84	44	Dendrite	94.2858062926,
L2D1	47	53.3590592307	131	2	Dendrite	236.807158936,
L2D1	73	78.3084424426	14	25	ApicalDendrite	210.673022928,
L2D1	275	397.406232873	29	104	ApicalDendrite	236.807158936,
L2D1_ongoing	8	1.72868283415	100	1	Dendrite	86.5928706996,
L2D1_ongoing	200	108.938090371	121	30	Dendrite	131.557517636,
L2D1_ongoing	225	314.534333846	29	74	ApicalDendrite	186.634935846,
L2D1_ongoing	272	374.532628069	29	96	ApicalDendrite	175.612146063,
L2D1_ongoing	299	348.755789899	37	9	ApicalDendrite	94.1528821773,
L2D2	31	121.88445181	7	50	ApicalDendrite	263.560767422,
L2D2	81	55.6634031163	103	13	Dendrite	279.650349696,
L2D2	88	70.10756972	103	23	Dendrite	246.673707907,
L2D2	103	80.1872730709	105	25	Dendrite	252.303880396,
L2D2	139	44.8000645883	129	8	Dendrite	238.311315659,
L2D2	225	34.1976031415	105	3	Dendrite	249.365308354,
L2D2	232	64.3872036135	129	16	Dendrite	225.895157903,
L2D2	255	27.9659318918	102	0	Dendrite	285.429744898,
L2D2	324	88.7657247487	60	31	Dendrite	237.788662637,
L2D2	370	22.7669392176	79	0	Dendrite	269.277970691,
L2D2	416	84.0362254775	78	13	Dendrite	228.393068305,
L2D2	427	177.764619817	75	66	Dendrite	274.247672215,
L2D2	429	87.3349065051	45	16	ApicalDendrite	239.470739289,
L2D2	455	126.079033378	45	30	ApicalDendrite	255.990073637,
L2D2	458	165.526059663	88	58	Dendrite	239.293565072,
