# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	5	215.187070735	95	18	Dendrite	213.078642278,
L1D1	26	199.280277961	44	51	ApicalDendrite	212.319058495,
L1D1_ongoing	4	246.147502303	84	83	Dendrite	154.391484738,
L1D1_ongoing	8	387.843604537	23	79	ApicalDendrite	185.57393649,
L1D1_ongoing	11	312.888941435	85	8	Dendrite	248.946756222,
L1D1_ongoing	12	321.966331636	85	11	Dendrite	26.1090368239,
L1D1_ongoing	17	357.894941705	86	24	Dendrite	40.322652849,
L1D1_ongoing	27	180.628272177	58	25	Dendrite	220.176455016,
L1D1_ongoing	29	211.469245937	94	14	Dendrite	51.2988621663,
L1D1_ongoing	34	145.398590963	42	18	ApicalDendrite	58.3792716474,
L1D2_ongoing	0	267.110362227	24	20	ApicalDendrite	215.531323349,
L1D2_ongoing	9	247.526609185	96	28	Dendrite	241.938744446,
L1D2_ongoing	15	377.43324482	23	75	ApicalDendrite	168.881848016,
L1D2_ongoing	17	41.9984208294	80	4	Dendrite	77.9468271973,
L1D2_ongoing	25	163.746748886	44	42	ApicalDendrite	22.7366740611,
L1D2_ongoing	26	170.677256053	44	44	ApicalDendrite	62.1800889747,
L1D2_ongoing	28	145.932503088	44	39	ApicalDendrite	134.807609189,
L1D2_ongoing	29	187.901146946	94	3	Dendrite	5.93366238927,
L1D2_ongoing	35	190.450229983	95	5	Dendrite	205.575928566,
L1D2_ongoing	42	67.6109361027	113	5	Dendrite	86.323566798,
L1D2_ongoing	49	52.2274802593	109	5	Dendrite	147.152454212,
L1D2_ongoing	58	178.444533986	58	24	Dendrite	17.8751200824,
L1D2_ongoing	62	343.99949933	86	19	Dendrite	39.4486526674,
L1D2_ongoing	63	308.352766521	86	10	Dendrite	65.6755095496,
L1D2_ongoing	68	220.757803574	45	66	ApicalDendrite	144.443257434,
L1D2_ongoing	74	168.357813409	14	103	ApicalDendrite	103.564306744,
L1D2_ongoing	76	142.556825352	58	13	Dendrite	9.27770139646,196.414374394,
L1D2_ongoing	77	77.511704345	59	4	Dendrite	142.204651015,
L1D2_ongoing	102	227.34907043	44	59	ApicalDendrite	201.039471763,
L1D2_ongoing	103	223.839077415	44	58	ApicalDendrite	103.927076757,
L1D2_ongoing	107	220.4288332	44	57	ApicalDendrite	28.080808841,
L1D2_ongoing	112	64.9164953107	88	4	Dendrite	149.138810212,
L1D2_ongoing	126	358.020861421	23	64	ApicalDendrite	20.3704448038,
L1D2_ongoing	128	282.643515613	94	51	Dendrite	180.833157135,
L1D2_ongoing	131	291.107653343	94	54	Dendrite	80.2072151174,
L1D2_ongoing	158	300.928691181	24	37	ApicalDendrite	4.53259855193,
L1D2_ongoing	166	218.923866752	58	36	Dendrite	24.7512155492,
L1D2_ongoing	168	201.856755112	58	31	Dendrite	147.638220167,
L1D2_ongoing	172	333.152644292	23	52	ApicalDendrite	44.0293913732,
L1D2_ongoing	177	94.1159262761	77	20	Dendrite	80.5189292698,
L1D2_ongoing	187	202.828848566	44	52	ApicalDendrite	213.877581783,
L1D2_ongoing	194	339.030728909	34	32	ApicalDendrite	136.955325647,
L1D2_ongoing	199	379.009335615	34	50	ApicalDendrite	242.751841539,
L1D2_ongoing	202	197.053801344	94	6	Dendrite	2.42103003,
L1D2_ongoing	235	121.241080518	104	41	Dendrite	16.1898316529,131.509868003,
L1D2_ongoing	254	161.766201159	14	101	ApicalDendrite	208.100970266,
L1D2_ongoing	256	156.407830048	59	40	Dendrite	161.102809547,175.31385547,
L1D2_ongoing	265	161.049667243	59	41	Dendrite	201.067305765,
L1D2_ongoing	273	115.701068799	99	24	Dendrite	70.7683968155,
L1D2_ongoing	288	171.68987475	77	51	Dendrite	5.28868626088,
L1D2_ongoing	289	144.877877409	77	41	Dendrite	235.124549345,
L2D1	84	54.5543499803	7	16	ApicalDendrite	225.720381397,
L2D1	153	159.808449741	18	32	ApicalDendrite	216.044323599,
L2D1	160	160.999818461	4	36	ApicalDendrite	230.536703891,
L2D1	169	102.3149185	84	14	Dendrite	219.363520051,
L2D1	216	127.424253863	74	38	Dendrite	220.463796664,
L2D1	230	65.5335110824	105	18	Dendrite	215.207875085,
L2D1	279	119.998228073	50	36	Dendrite	225.720381397,
L2D1	289	91.3546389763	74	16	Dendrite	225.720381397,
L2D1_ongoing	115	48.1219715957	3	11	ApicalDendrite	113.371080902,
L2D2	46	128.837462101	7	54	ApicalDendrite	243.709810202,
L2D2	51	96.4049457967	7	37	ApicalDendrite	251.613648279,
L2D2	59	136.246472898	81	50	Dendrite	228.027136398,
L2D2	66	92.4413211143	7	35	ApicalDendrite	291.951338834,
L2D2	95	73.7275598743	103	25	Dendrite	256.513996047,
L2D2	125	79.4683381892	129	22	Dendrite	292.413727313,
L2D2	150	54.9440557379	105	13	Dendrite	277.792988084,
L2D2	174	91.8741143829	105	35	Dendrite	273.842620014,
L2D2	185	94.3789052099	104	29	Dendrite	214.417577517,
L2D2	187	88.8955836934	129	26	Dendrite	225.529720266,
L2D2	208	27.9659318918	101	6	Dendrite	290.66407129,
L2D2	209	36.203578404	102	5	Dendrite	268.325415683,
L2D2	219	64.3676851085	105	17	Dendrite	270.138535384,
L2D2	260	118.277715122	124	40	Dendrite	271.667205882,
L2D2	270	158.496162827	9	56	ApicalDendrite	218.10945316,
L2D2	277	138.360366387	18	23	ApicalDendrite	277.267392795,
L2D2	325	340.229869563	24	54	ApicalDendrite	279.099066383,
L2D2	328	346.818565792	24	58	ApicalDendrite	251.446580223,
L2D2	339	128.720445538	110	29	Dendrite	267.664888854,
L2D2	346	143.577867204	111	34	Dendrite	227.718064168,
L2D2	416	84.0362254775	78	13	Dendrite	235.644648911,
L2D2	449	148.498944888	88	43	Dendrite	244.797446705,
L2D2	462	130.601472302	14	82	ApicalDendrite	240.624638936,
L2D2	510	98.5586656397	14	46	ApicalDendrite	250.171909232,
L2D2	511	126.757970387	14	75	ApicalDendrite	223.262176921,
L2D2	529	89.3615703889	56	27	Dendrite	213.873903293,
L2D2	538	79.2881439117	59	8	Dendrite	282.657200066,
L2D2	589	79.1382921606	56	10	Dendrite	273.294054345,
L2D2	592	129.201187277	58	9	Dendrite	235.760718469,
L2D2	600	112.517927241	59	29	Dendrite	289.152709711,
L2D2	613	123.367166937	131	34	Dendrite	264.459223619,
L2D2	624	133.98892294	5	26	ApicalDendrite	253.251899419,
L2D2	632	148.432167626	5	29	ApicalDendrite	276.906611617,
L2D2	648	137.653008385	104	48	Dendrite	265.813809702,
L2D2	650	144.761548373	104	51	Dendrite	258.741861904,
L2D2	653	132.361233329	104	46	Dendrite	286.165265199,
L2D2	710	56.2989729314	127	5	Dendrite	287.144225442,
L2D2	733	51.0690362152	128	4	Dendrite	286.09956106,
L2D2	766	107.254888439	4	15	ApicalDendrite	254.808258128,
L2D2	791	84.8901254434	4	5	ApicalDendrite	236.060936372,
L2D2	795	49.9471210947	124	9	Dendrite	242.205410154,
L2D2	889	62.8192607503	124	16	Dendrite	218.10945316,
L2D2	930	66.1243020812	5	0	ApicalDendrite	254.808258128,
L2D2	967	71.2818161587	124	21	Dendrite	251.613648279,
L2D2	983	124.641937332	25	6	ApicalDendrite	289.152709711,
L2D2	1021	108.811445046	87	15	Dendrite	257.140111233,
L2D2	1045	110.176619674	68	10	Dendrite	291.951338834,
L2D2	1053	95.534833957	117	34	Dendrite	290.66407129,
L2D2	1115	327.582934032	85	13	Dendrite	282.657200066,
L2D2	1149	62.7353152113	118	17	Dendrite	225.529720266,
L2D2	1157	109.721967804	98	20	Dendrite	216.152868797,
