# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	39	217.602440516	44	56	ApicalDendrite	213.977095546,
L1D1	42	279.629535611	84	97	Dendrite	213.541463545,
L1D1_ongoing	0	291.824099331	24	32	ApicalDendrite	25.2217960902,
L1D1_ongoing	5	215.187070735	95	18	Dendrite	112.131483189,
L1D1_ongoing	14	308.790201578	85	7	Dendrite	50.6522878244,242.122186171,
L1D1_ongoing	20	354.587962475	24	64	ApicalDendrite	239.546268382,
L1D1_ongoing	28	237.773797135	96	24	Dendrite	4.07507995665,222.370966134,
L1D1_ongoing	33	286.285495399	86	2	Dendrite	11.131246975,
L1D1_ongoing	35	146.408417734	59	38	Dendrite	44.9222014874,
L1D1_ongoing	41	293.430417292	85	2	Dendrite	244.868540895,
L1D2_ongoing	2	281.304975887	24	27	ApicalDendrite	178.432576419,
L1D2_ongoing	9	247.526609185	96	28	Dendrite	103.902135019,
L1D2_ongoing	10	258.376313058	96	31	Dendrite	101.299439439,
L1D2_ongoing	13	409.280764264	23	87	ApicalDendrite	112.223859445,
L1D2_ongoing	14	374.561790039	23	73	ApicalDendrite	192.179797684,
L1D2_ongoing	16	371.430676504	23	71	ApicalDendrite	97.8246526808,
L1D2_ongoing	17	41.9984208294	80	4	Dendrite	168.851320025,
L1D2_ongoing	23	42.3430293503	16	6	ApicalDendrite	226.239057304,
L1D2_ongoing	25	163.746748886	44	42	ApicalDendrite	76.5526004447,
L1D2_ongoing	41	118.386539572	72	3	Dendrite	132.86464915,
L1D2_ongoing	42	67.6109361027	113	5	Dendrite	213.493760457,
L1D2_ongoing	43	63.0818159968	113	2	Dendrite	112.380458591,
L1D2_ongoing	49	52.2274802593	109	5	Dendrite	77.319928124,
L1D2_ongoing	59	180.628272177	58	25	Dendrite	51.104947783,115.668584147,
L1D2_ongoing	64	333.504023926	86	15	Dendrite	30.2855492406,
L1D2_ongoing	67	362.725289587	86	26	Dendrite	123.899471497,
L1D2_ongoing	68	220.757803574	45	66	ApicalDendrite	6.21661115873,
L1D2_ongoing	69	136.31798043	13	38	ApicalDendrite	62.9664408936,157.945348481,
L1D2_ongoing	72	189.866934116	14	109	ApicalDendrite	228.136255719,
L1D2_ongoing	76	142.556825352	58	13	Dendrite	111.533274372,
L1D2_ongoing	82	150.834691707	110	41	Dendrite	41.8613998715,
L1D2_ongoing	83	113.975366381	111	19	Dendrite	186.468152305,
L1D2_ongoing	85	133.085660815	110	31	Dendrite	23.5282780319,
L1D2_ongoing	88	128.407262621	111	27	Dendrite	197.635988874,
L1D2_ongoing	91	113.469952322	110	21	Dendrite	211.643857227,
L1D2_ongoing	96	242.796995291	44	65	ApicalDendrite	178.369507151,
L1D2_ongoing	97	220.4288332	44	57	ApicalDendrite	62.8962540451,172.259095671,
L1D2_ongoing	101	231.48998264	44	61	ApicalDendrite	96.8954208929,
L1D2_ongoing	104	211.878368344	44	54	ApicalDendrite	173.385730697,
L1D2_ongoing	106	228.957851565	44	60	ApicalDendrite	165.555611979,
L1D2_ongoing	107	220.4288332	44	57	ApicalDendrite	188.933617003,
L1D2_ongoing	108	227.34907043	44	59	ApicalDendrite	240.910668646,
L1D2_ongoing	112	64.9164953107	88	4	Dendrite	125.820798365,
L1D2_ongoing	120	238.473470867	31	31	ApicalDendrite	178.375219883,
L1D2_ongoing	121	238.375732092	84	80	Dendrite	161.716092204,
