# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	2	305.281110126	24	39	ApicalDendrite	215.714681314,
L1D1_ongoing	0	291.824099331	24	32	ApicalDendrite	69.1944145825,
L1D1_ongoing	2	305.281110126	24	39	ApicalDendrite	34.4179959159,108.294774048,
L1D1_ongoing	12	321.966331636	85	11	Dendrite	222.920437328,
L1D1_ongoing	13	327.582934032	85	13	Dendrite	70.298667751,
L1D1_ongoing	17	357.894941705	86	24	Dendrite	8.71920279962,
L1D1_ongoing	26	199.280277961	44	51	ApicalDendrite	96.0381993346,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	222.56138799,
L1D1_ongoing	38	414.333208238	29	110	ApicalDendrite	167.381285528,
L1D2_ongoing	8	255.131035451	96	30	Dendrite	171.308037626,
L1D2_ongoing	19	53.6153425996	44	2	ApicalDendrite	160.810694586,
L1D2_ongoing	20	32.0547888707	62	5	Dendrite	17.6863417239,
L1D2_ongoing	23	42.3430293503	16	6	ApicalDendrite	7.62050329495,
L1D2_ongoing	24	35.5815340913	76	2	Dendrite	132.399092878,
L1D2_ongoing	29	187.901146946	94	3	Dendrite	187.871702852,
L1D2_ongoing	33	188.873378687	95	4	Dendrite	211.452044491,
L1D2_ongoing	51	70.4389846043	70	8	Dendrite	72.3214454499,
L1D2_ongoing	59	180.628272177	58	25	Dendrite	207.618636223,
L1D2_ongoing	60	181.830908981	58	26	Dendrite	91.6951875271,
L1D2_ongoing	72	189.866934116	14	109	ApicalDendrite	29.1357378723,
L1D2_ongoing	73	195.757698825	14	111	ApicalDendrite	45.5232858777,
L1D2_ongoing	85	133.085660815	110	31	Dendrite	171.237369932,
L1D2_ongoing	87	99.5631378549	111	13	Dendrite	159.379157078,
L1D2_ongoing	90	132.762208873	111	29	Dendrite	179.095417627,
L1D2_ongoing	91	113.469952322	110	21	Dendrite	194.541655144,
L1D2_ongoing	103	223.839077415	44	58	ApicalDendrite	95.4016776025,
L1D2_ongoing	106	228.957851565	44	60	ApicalDendrite	121.121122543,134.476056025,
L1D2_ongoing	117	85.8570689541	81	25	Dendrite	122.75878174,247.444868204,
L1D2_ongoing	138	126.6885269	18	18	ApicalDendrite	60.0695539737,
L1D2_ongoing	159	305.281110126	24	39	ApicalDendrite	232.716536213,
L1D2_ongoing	162	297.091714945	24	35	ApicalDendrite	65.9921968411,
L1D2_ongoing	174	225.581903893	95	24	Dendrite	66.2244963753,137.018618473,
L1D2_ongoing	181	125.31833662	92	29	Dendrite	89.9394373986,
L1D2_ongoing	182	119.636876781	92	26	Dendrite	231.668710538,
L1D2_ongoing	192	260.725946072	94	41	Dendrite	168.682720628,
L1D2_ongoing	194	339.030728909	34	32	ApicalDendrite	118.708657763,
L1D2_ongoing	207	235.035492715	94	27	Dendrite	3.98538722787,
L1D2_ongoing	209	238.281874696	94	29	Dendrite	229.583191023,
L1D2_ongoing	211	236.952424266	94	28	Dendrite	116.538141228,
L1D2_ongoing	214	244.306237009	94	34	Dendrite	165.066266398,
L1D2_ongoing	217	234.43696594	96	23	Dendrite	174.008696335,241.006253727,
L1D2_ongoing	222	219.817411716	94	19	Dendrite	209.226678558,
L1D2_ongoing	223	202.89225128	94	9	Dendrite	51.7980734682,94.3253281233,
L1D2_ongoing	227	206.141743197	96	14	Dendrite	57.2948153194,
L1D2_ongoing	231	272.181507939	31	41	ApicalDendrite	162.118534569,
L1D2_ongoing	245	304.105197592	34	20	ApicalDendrite	123.777043026,
L1D2_ongoing	246	289.191050147	86	3	Dendrite	249.314066774,
L1D2_ongoing	249	312.6756998	34	23	ApicalDendrite	133.586876001,228.274356641,
L1D2_ongoing	272	111.960575355	110	20	Dendrite	42.0203540471,
L1D2_ongoing	277	249.946864119	94	37	Dendrite	0.513227728141,
L1D2_ongoing	278	247.822803338	94	36	Dendrite	83.1872320384,
L1D2_ongoing	285	198.244635912	77	61	Dendrite	57.8614784729,
L1D2_ongoing	288	171.68987475	77	51	Dendrite	25.7294157678,
L2D1	90	58.139451952	127	6	Dendrite	219.4901818,
L2D1	128	59.7612766473	123	11	Dendrite	214.060110999,
L2D1	145	211.935505117	84	68	Dendrite	221.909919592,
L2D1	165	106.477984796	118	38	Dendrite	214.279335783,
L2D1	170	106.630043982	20	3	ApicalDendrite	216.950773343,
L2D1	199	112.829633602	121	31	Dendrite	220.613525653,
L2D1	209	385.303641595	38	21	ApicalDendrite	236.507333716,
L2D1_ongoing	288	97.5780604882	75	26	Dendrite	222.023402075,
L2D1_ongoing	321	212.656486806	36	0	ApicalDendrite	243.449230625,
L2D2	15	121.050100767	13	31	ApicalDendrite	218.123879646,
L2D2	82	61.6366831024	129	15	Dendrite	226.176729061,
L2D2	177	86.6000467202	129	25	Dendrite	222.215138127,
L2D2	209	36.203578404	102	5	Dendrite	287.044543569,
L2D2	247	44.5038258279	103	3	Dendrite	246.868823291,
L2D2	263	168.351494038	9	62	ApicalDendrite	278.801480713,
L2D2	320	104.535408144	132	18	Dendrite	273.509324241,
L2D2	331	299.127795732	24	36	ApicalDendrite	272.5380422,
L2D2	344	125.194318792	110	27	Dendrite	226.313119577,
L2D2	354	58.1814877589	45	4	ApicalDendrite	213.833799285,
L2D2	409	48.0678509799	43	6	ApicalDendrite	252.863366727,
L2D2	427	177.764619817	75	66	Dendrite	268.761514982,
L2D2	444	160.60167939	88	51	Dendrite	265.145436022,
L2D2	555	78.5784190007	56	9	Dendrite	267.506406055,
L2D2	568	109.907667726	57	2	Dendrite	229.926088135,
L2D2	575	73.7898342926	59	0	Dendrite	272.602712919,
L2D2	653	132.361233329	104	46	Dendrite	277.465106163,
L2D2	660	111.924927535	50	32	Dendrite	243.884288991,
L2D2	662	101.807041758	51	25	Dendrite	288.050223396,
L2D2	690	48.1219715957	3	11	ApicalDendrite	234.250049879,
L2D2	693	56.9595828855	124	13	Dendrite	238.369476609,
L2D2	701	70.5770356868	128	13	Dendrite	229.572691752,
L2D2	729	57.761787871	7	19	ApicalDendrite	278.101297233,
L2D2	742	39.1405790029	126	7	Dendrite	214.61465566,
L2D2	756	66.1243020812	4	0	ApicalDendrite	223.460793564,
L2D2	771	58.3842601268	124	14	Dendrite	249.420301895,
L2D2	795	49.9471210947	124	9	Dendrite	265.176630257,
L2D2	867	72.384584054	5	3	ApicalDendrite	246.868823291,
L2D2	872	57.761787871	7	19	ApicalDendrite	213.833799285,
L2D2	882	80.1867923378	4	3	ApicalDendrite	226.176729061,
L2D2	885	90.9776950168	103	34	Dendrite	278.801480713,
L2D2	900	88.9883278889	4	7	ApicalDendrite	243.884288991,
L2D2	904	51.3349709375	7	14	ApicalDendrite	249.420301895,
L2D2	918	54.4307816468	127	4	Dendrite	246.868823291,
L2D2	922	54.4307816468	127	4	Dendrite	246.868823291,
L2D2	986	101.357958157	21	1	ApicalDendrite	268.761514982,
L2D2	1024	99.192223292	21	0	ApicalDendrite	226.176729061,
L2D2	1048	116.030886461	117	44	Dendrite	238.369476609,
L2D2	1108	123.083750426	60	46	Dendrite	286.332650073,
L2D2	1174	24.4217128189	125	8	Dendrite	272.5380422,
L2D2	1178	131.998197967	9	43	ApicalDendrite	287.044543569,
L2D2	1201	72.9145334775	10	15	ApicalDendrite	246.868823291,
L2D2	1303	138.294413593	4	26	ApicalDendrite	238.369476609,
L2D2	1347	82.9057266918	99	9	Dendrite	267.506406055,
L2D2	1367	68.3240226836	99	4	Dendrite	246.868823291,
L2D2	1480	27.1332862335	6	2	ApicalDendrite	280.063238636,
L2D2	1494	81.2804008462	77	14	Dendrite	222.215138127,
L2D2	1559	150.193508583	35	9	ApicalDendrite	214.61465566,
L2D2	1570	184.121642128	32	11	ApicalDendrite	268.761514982,
L2D2	1574	150.356869032	29	0	ApicalDendrite	278.801480713,
L2D2	1603	170.997153338	32	2	ApicalDendrite	280.063238636,
L2D2	1611	163.110739343	35	14	ApicalDendrite	222.215138127,
L2D2	1656	124.451778822	127	30	Dendrite	213.833799285,
L2D2	1694	89.3457849875	131	19	Dendrite	238.369476609,
L2D2	1791	77.0741510916	5	5	ApicalDendrite	272.602712919,
L2D2	1816	85.0002520051	131	17	Dendrite	278.801480713,
L2D2	1817	81.3887504314	74	12	Dendrite	226.313119577,
L2D2	1842	72.1656932484	83	8	Dendrite	238.369476609,
L2D2	1851	68.7421956831	7	24	ApicalDendrite	288.050223396,
L2D2	1869	51.6834496612	81	4	Dendrite	287.044543569,
L2D2	1897	75.2760003295	13	9	ApicalDendrite	223.460793564,
L2D2	1912	67.9736256688	88	7	Dendrite	265.145436022,
L2D2	1939	85.7368808674	14	34	ApicalDendrite	234.250049879,
L2D2	2031	76.5508402261	114	6	Dendrite	267.506406055,
L2D2	2048	56.6558360007	109	7	Dendrite	287.044543569,
L2D2	2069	36.4913797925	106	9	Dendrite	218.123879646,
L2D2	2071	62.5775837075	99	1	Dendrite	277.465106163,
L2D2	2111	55.7966748574	97	5	Dendrite	272.602712919,
L2D2	2284	258.124408705	31	38	ApicalDendrite	229.926088135,
L2D2_ongoing	7	115.73439127	7	46	ApicalDendrite	70.8984973514,
L2D2_ongoing	81	55.6634031163	103	13	Dendrite	130.431041312,
L2D2_ongoing	86	33.6535918248	126	4	Dendrite	51.5937906817,
L2D2_ongoing	136	86.8433477723	105	29	Dendrite	119.306079263,
L2D2_ongoing	299	87.2954100176	60	30	Dendrite	160.292324581,
L2D2_ongoing	551	115.635234506	58	4	Dendrite	207.488922965,
L2D2_ongoing	569	105.212330227	57	0	Dendrite	19.4183114714,
L2D2_ongoing	583	149.70887967	58	16	Dendrite	92.7390649496,
L2D2_ongoing	986	101.357958157	21	1	ApicalDendrite	43.1219975811,
L2D2_ongoing	1065	142.098748334	78	44	Dendrite	58.5754728941,
L2D2_ongoing	1067	128.454276359	77	36	Dendrite	103.851318962,
L2D2_ongoing	1526	83.8009017774	59	18	Dendrite	128.584397433,
L2D2_ongoing	1535	330.81131871	23	51	ApicalDendrite	64.8232147246,
L2D2_ongoing	1559	150.193508583	35	9	ApicalDendrite	98.6852607108,
L2D2_ongoing	1609	193.073846631	32	17	ApicalDendrite	184.888104421,
L2D2_ongoing	1674	65.030376709	131	7	Dendrite	26.6729901404,
L2D2_ongoing	1793	77.0741510916	5	5	ApicalDendrite	187.011587591,
L2D2_ongoing	1841	82.1740352868	87	2	Dendrite	166.873764197,
L2D2_ongoing	2049	86.7670513255	66	12	Dendrite	239.429554437,
L2D2_ongoing	2053	89.2334557397	68	1	Dendrite	223.997483435,
L2D2_ongoing	2091	73.988456417	92	5	Dendrite	113.466739027,
L2D2_ongoing	2195	79.0838795071	19	0	ApicalDendrite	197.500109198,
L3D1	14	126.645489345	124	43	Dendrite	210.210057112,
L3D1	53	138.360366387	18	23	ApicalDendrite	213.453104979,
L3D1	54	161.421542184	9	58	ApicalDendrite	213.017813744,
L3D1	62	95.9900688474	60	34	Dendrite	211.155680124,
L3D1	65	284.139172422	24	29	ApicalDendrite	212.400998881,
L3D1	76	160.999818461	4	36	ApicalDendrite	215.374518588,
L3D1	84	326.521054156	24	48	ApicalDendrite	215.228149786,
L3D1	98	140.295511354	110	35	Dendrite	224.681459016,
L3D1	106	139.417645933	111	32	Dendrite	210.369525918,
L3D1	107	109.917005925	111	17	Dendrite	210.634522994,
L3D1	121	108.00571462	14	53	ApicalDendrite	265.265398302,
L3D1	164	393.81513205	29	103	ApicalDendrite	210.476030865,
L3D1	172	411.376702925	29	109	ApicalDendrite	211.155680124,
L3D1	181	129.152422072	22	10	ApicalDendrite	211.155680124,
L3D1_ongoing	52	180.752740132	18	40	ApicalDendrite	119.213516353,
L3D2	20	190.933802548	20	41	ApicalDendrite	225.287738219,
L3D2	32	90.0974336752	13	17	ApicalDendrite	248.83566409,
L3D2	118	138.458595713	84	37	Dendrite	214.954328749,
L3D2	125	118.491663525	69	28	Dendrite	283.52163505,
L3D2	164	147.947054764	4	30	ApicalDendrite	274.510069251,
L3D2	174	130.664821487	131	38	Dendrite	253.143171461,
L3D2	246	75.5627959248	50	18	Dendrite	260.042599709,
L3D2	294	98.6686992889	54	26	Dendrite	214.954328749,
L3D2	347	75.5839960934	117	23	Dendrite	225.287738219,
L3D2	351	103.728022297	67	9	Dendrite	248.83566409,
L3D2	373	61.5090325394	128	9	Dendrite	248.83566409,
L3D2	412	121.241080518	104	41	Dendrite	225.287738219,
L3D2	417	86.3441257964	111	8	Dendrite	248.83566409,
L3D2	478	188.148226199	22	42	ApicalDendrite	260.042599709,
L3D2	549	88.0359075206	68	0	Dendrite	225.287738219,
L3D2	564	74.5920269196	69	3	Dendrite	274.510069251,
L3D2	591	63.0591970169	98	1	Dendrite	283.52163505,
L3D2	630	49.2193314696	107	8	Dendrite	214.954328749,
L3D2	634	37.1740992777	107	0	Dendrite	274.510069251,
L3D2	705	42.7056110655	123	3	Dendrite	274.510069251,
L3D2	709	0.0	60	0	Dendrite	274.510069251,
L3D2	728	51.2356262205	9	5	ApicalDendrite	260.042599709,
L3D2	742	192.217176692	32	16	ApicalDendrite	283.52163505,
L3D2	777	73.6827395435	44	11	ApicalDendrite	283.52163505,
L3D2_ongoing	277	91.5149958406	53	25	Dendrite	62.4467522703,
L3D2_ongoing	447	249.946864119	94	37	Dendrite	204.478745924,
L3D2_ongoing	507	136.801838894	60	50	Dendrite	241.378161703,
L3D2_ongoing	537	81.9705045424	60	27	Dendrite	6.36437671068,
