# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1_ongoing	0	291.824099331	24	32	ApicalDendrite	58.8069506761,
L1D1_ongoing	10	378.823245807	23	76	ApicalDendrite	18.304696198,
L1D1_ongoing	11	312.888941435	85	8	Dendrite	36.6755920776,
L1D1_ongoing	14	308.790201578	85	7	Dendrite	235.486423666,
L1D1_ongoing	19	247.526609185	96	28	Dendrite	184.787080431,
L1D1_ongoing	25	144.877877409	77	41	Dendrite	217.167801785,
L1D1_ongoing	26	199.280277961	44	51	ApicalDendrite	42.8031254114,
L1D1_ongoing	36	173.099511536	58	23	Dendrite	22.3010631668,
L1D2_ongoing	14	374.561790039	23	73	ApicalDendrite	205.992944583,
L1D2_ongoing	17	41.9984208294	80	4	Dendrite	152.881211468,
L1D2_ongoing	21	43.2322349937	63	5	Dendrite	60.9683953066,
L1D2_ongoing	35	190.450229983	95	5	Dendrite	38.1198283701,
L1D2_ongoing	36	200.057517281	95	10	Dendrite	38.6608096653,
L1D2_ongoing	44	63.4689147886	109	11	Dendrite	119.82761536,
L1D2_ongoing	47	88.0359075206	68	0	Dendrite	176.995011864,
L1D2_ongoing	57	163.886740981	113	53	Dendrite	81.0548978974,
L1D2_ongoing	68	220.757803574	45	66	ApicalDendrite	142.32691204,
L1D2_ongoing	72	189.866934116	14	109	ApicalDendrite	82.0495886114,
L1D2_ongoing	101	231.48998264	44	61	ApicalDendrite	191.549554637,
L1D2_ongoing	111	83.9942927706	7	32	ApicalDendrite	248.2323379,
L1D2_ongoing	119	55.6031021426	104	10	Dendrite	213.297634547,
L1D2_ongoing	129	266.564409171	94	45	Dendrite	199.993678192,
L1D2_ongoing	130	293.546479247	94	55	Dendrite	36.9840219748,
L1D2_ongoing	132	297.345471379	94	57	Dendrite	51.6432574569,
L1D2_ongoing	145	183.165996017	45	51	ApicalDendrite	160.322422327,
L1D2_ongoing	155	209.116845028	45	61	ApicalDendrite	119.196699184,
L1D2_ongoing	173	215.187070735	95	18	Dendrite	168.528527883,
L1D2_ongoing	184	120.332827609	92	27	Dendrite	188.249478848,
L1D2_ongoing	192	260.725946072	94	41	Dendrite	61.9148315977,
L1D2_ongoing	194	339.030728909	34	32	ApicalDendrite	174.466104422,
L1D2_ongoing	195	357.004325583	24	66	ApicalDendrite	8.86340176722,
L1D2_ongoing	202	197.053801344	94	6	Dendrite	192.425203786,
L1D2_ongoing	205	198.62201058	96	12	Dendrite	77.1272881163,
L1D2_ongoing	211	236.952424266	94	28	Dendrite	92.6246700187,
L1D2_ongoing	222	219.817411716	94	19	Dendrite	80.4168822738,
L1D2_ongoing	227	206.141743197	96	14	Dendrite	166.520836585,
L1D2_ongoing	236	109.506883703	105	40	Dendrite	101.262236719,
L1D2_ongoing	238	115.999680225	69	27	Dendrite	91.0382130875,
L1D2_ongoing	239	145.572992139	68	26	Dendrite	86.781053203,
L1D2_ongoing	251	282.982372924	84	98	Dendrite	216.994048609,
L1D2_ongoing	254	161.766201159	14	101	ApicalDendrite	177.165106215,
L1D2_ongoing	258	141.4262955	59	37	Dendrite	73.7593612803,
L1D2_ongoing	267	150.076245849	59	39	Dendrite	160.306899671,
L1D2_ongoing	269	107.483084507	110	17	Dendrite	117.675394681,
L1D2_ongoing	272	111.960575355	110	20	Dendrite	67.4740264311,160.187598163,
L1D2_ongoing	274	82.9057266918	99	9	Dendrite	216.059368497,
L1D2_ongoing	277	249.946864119	94	37	Dendrite	47.3357052647,
L1D2_ongoing	288	171.68987475	77	51	Dendrite	155.545161791,
L1D2_ongoing	291	183.954184686	77	55	Dendrite	5.23620656449,184.464742639,
L1D2_ongoing	299	133.735880478	14	88	ApicalDendrite	196.981011996,
L2D1	22	56.0699060393	60	16	Dendrite	218.999793718,
L2D1	121	71.8520439547	123	17	Dendrite	211.000986922,
L2D1	122	65.030376709	131	7	Dendrite	227.093035436,
L2D1	195	289.561640759	29	64	ApicalDendrite	216.522370492,
L2D1	318	224.476756906	36	6	ApicalDendrite	227.093035436,
L2D1_ongoing	321	212.656486806	36	0	ApicalDendrite	49.1096382993,
L2D2	13	102.235228098	13	23	ApicalDendrite	226.215937407,
L2D2	35	118.661262839	13	30	ApicalDendrite	244.455908023,
L2D2	48	108.877520701	13	26	ApicalDendrite	233.266575544,
L2D2	71	145.328535006	81	55	Dendrite	212.580119374,
L2D2	72	124.008399548	13	32	ApicalDendrite	275.3758401,
L2D2	113	46.0370444375	103	4	Dendrite	234.319747358,
L2D2	114	76.6050725323	129	21	Dendrite	251.667130814,
L2D2	118	62.7544002083	105	16	Dendrite	255.398489845,
L2D2	141	74.9420516121	105	22	Dendrite	298.181650982,
L2D2	183	52.9844469863	103	10	Dendrite	249.564942173,
L2D2	196	44.3659155015	104	4	Dendrite	241.258584335,
L2D2	200	53.6446290647	105	12	Dendrite	254.855301916,
L2D2	258	77.1300283227	103	27	Dendrite	249.047955779,
L2D2	259	126.645489345	124	43	Dendrite	241.764017541,
L2D2	268	175.357511956	9	68	ApicalDendrite	242.408006589,
L2D2	276	137.225518857	9	45	ApicalDendrite	222.875664857,
L2D2	294	98.0347675715	60	35	Dendrite	263.500192861,
L2D2	364	24.9735491799	55	8	Dendrite	240.221138772,
L2D2	367	40.9000403159	43	3	ApicalDendrite	288.804952031,
L2D2	376	89.9074874172	78	15	Dendrite	228.549007859,
L2D2	377	61.8255961111	77	6	Dendrite	276.668321675,
L2D2	430	111.585400375	45	25	ApicalDendrite	295.976759061,
L2D2	467	139.882952189	45	35	ApicalDendrite	261.908023662,
L2D2	470	111.739018569	88	28	Dendrite	281.002072443,
L2D2	480	104.484745968	88	25	Dendrite	214.236529318,
L2D2	483	170.264913745	88	67	Dendrite	216.692585596,
L2D2	492	115.085819521	88	29	Dendrite	255.315849035,
L2D2	502	121.513361898	14	68	ApicalDendrite	233.727394097,
L2D2	509	95.3024630744	45	19	ApicalDendrite	266.993996785,
L2D2	511	126.757970387	14	75	ApicalDendrite	281.25540161,
L2D2	526	83.9559377953	56	20	Dendrite	281.696306184,
L2D2	533	75.4934639084	56	1	Dendrite	217.473101269,
L2D2	537	99.4524531508	56	30	Dendrite	222.539192526,
L2D2	623	143.885838559	5	28	ApicalDendrite	261.211895595,
L2D2	671	68.1900330848	131	9	Dendrite	214.575074799,
L2D2	672	80.3621892274	128	19	Dendrite	237.937920377,
L2D2	678	34.9793683201	126	5	Dendrite	294.129985887,
L2D2	701	70.5770356868	128	13	Dendrite	273.07322457,
L2D2	714	78.8196418751	131	14	Dendrite	268.658510163,
L2D2	775	48.280205519	7	11	ApicalDendrite	241.242369572,
L2D2	834	46.5050923123	123	6	Dendrite	234.319747358,
L2D2	843	56.0080944748	7	18	ApicalDendrite	288.804952031,
L2D2	848	46.5050923123	123	6	Dendrite	268.658510163,
L2D2	892	94.1054301131	4	9	ApicalDendrite	275.3758401,
L2D2	933	117.383282055	4	19	ApicalDendrite	295.976759061,
L2D2	943	44.9249818803	126	9	Dendrite	233.727394097,
L2D2	944	65.6137570381	9	11	ApicalDendrite	214.575074799,
L2D2	955	49.6778556998	7	12	ApicalDendrite	268.658510163,
L2D2	964	45.1691204982	7	9	ApicalDendrite	228.549007859,
L2D2	972	374.532628069	29	96	ApicalDendrite	249.047955779,
L2D2	973	388.981354807	29	101	ApicalDendrite	298.694378404,
L2D2	979	376.576801426	29	97	ApicalDendrite	249.564942173,
L2D2	982	126.631216856	84	30	Dendrite	214.236529318,
L2D2	998	115.528078171	22	3	ApicalDendrite	241.764017541,
L2D2	1033	227.884235603	84	75	Dendrite	222.539192526,
L2D2	1036	126.672500284	91	34	Dendrite	281.002072443,
L2D2	1049	76.1589054958	70	11	Dendrite	217.473101269,
L2D2	1138	44.1655378441	118	9	Dendrite	255.398489845,
L2D2	1139	38.2752395436	121	2	Dendrite	233.727394097,
L2D2	1163	23.8985196689	117	0	Dendrite	241.764017541,
L2D2	1192	69.4340509627	9	13	ApicalDendrite	222.539192526,
L2D2	1210	310.597710253	33	22	ApicalDendrite	241.242369572,
L2D2	1226	149.970964835	91	46	Dendrite	212.580119374,
L2D2	1232	145.919986434	71	16	Dendrite	268.658510163,
L2D2	1244	105.363949181	92	20	Dendrite	226.215937407,
L2D2	1269	131.991860009	99	31	Dendrite	233.266575544,
L2D2	1273	300.534702993	36	49	ApicalDendrite	254.855301916,
L2D2	1291	95.0629548142	103	36	Dendrite	255.315849035,
L2D2	1322	71.7760663716	111	3	Dendrite	288.804952031,
L2D2	1331	73.536592913	98	6	Dendrite	241.242369572,
L2D2	1353	121.914475751	99	27	Dendrite	217.473101269,
L2D2	1361	76.633641933	111	5	Dendrite	295.976759061,
L2D2	1425	112.448117552	105	43	Dendrite	241.041536529,
L2D2	1433	260.008628488	23	16	ApicalDendrite	241.764017541,
L2D2	1440	43.0676042376	130	16	Dendrite	233.727394097,
L2D2	1465	2.27272556751	115	1	Dendrite	298.694378404,
L2D2	1486	43.4713122068	124	5	Dendrite	261.908023662,
L2D2	1506	113.03272599	44	26	ApicalDendrite	276.668321675,
L2D2	1566	161.238014849	28	3	ApicalDendrite	241.242369572,
L2D2	1612	202.455823208	31	17	ApicalDendrite	222.539192526,
L2D2	1635	362.725289587	86	26	Dendrite	241.242369572,
L2D2	1636	337.091201147	85	16	Dendrite	254.855301916,
L2D2	1664	102.444354541	131	26	Dendrite	242.408006589,
L2D2	1672	92.3118401884	124	31	Dendrite	241.764017541,
L2D2	1687	120.002974553	127	28	Dendrite	254.855301916,
L2D2	1754	84.0917231589	124	29	Dendrite	255.315849035,
L2D2	1763	92.3118401884	124	31	Dendrite	254.855301916,
L2D2	1769	112.627371946	124	38	Dendrite	241.041536529,
L2D2	1781	118.16418237	5	21	ApicalDendrite	261.908023662,
L2D2	1812	89.3457849875	131	19	Dendrite	295.976759061,
L2D2	1820	134.088811212	74	41	Dendrite	276.668321675,
L2D2	1876	107.701004659	81	36	Dendrite	233.266575544,
L2D2	1879	80.7925349453	81	22	Dendrite	237.937920377,
L2D2	1888	40.9095534758	12	7	ApicalDendrite	294.129985887,
L2D2	1922	101.517938936	13	22	ApicalDendrite	266.993996785,
L2D2	1923	93.3891620223	81	30	Dendrite	233.266575544,
L2D2	1957	95.4612981495	114	14	Dendrite	228.549007859,
L2D2	1977	80.7911594491	50	20	Dendrite	241.242369572,
L2D2	2047	86.3981019241	66	11	Dendrite	298.694378404,
L2D2	2061	56.0431007199	107	12	Dendrite	222.875664857,
L2D2	2076	66.7448547509	117	20	Dendrite	251.667130814,
L2D2	2093	67.4887065414	107	18	Dendrite	217.473101269,
L2D2	2118	86.3393053895	92	11	Dendrite	233.266575544,
L2D2	2123	35.5639180788	120	1	Dendrite	222.539192526,
L2D2	2135	44.7420617504	97	0	Dendrite	233.266575544,
L2D2	2154	138.425343051	20	15	ApicalDendrite	255.315849035,
L2D2	2163	95.481805703	18	6	ApicalDendrite	261.211895595,
L2D2	2186	69.3654321252	17	5	ApicalDendrite	217.473101269,
L2D2	2197	79.0838795071	17	10	ApicalDendrite	241.258584335,
L2D2	2227	262.655693499	34	1	ApicalDendrite	212.580119374,
L2D2	2250	129.179927879	118	47	Dendrite	214.236529318,
L2D2_ongoing	84	30.9879817163	102	2	Dendrite	214.145324798,
L2D2_ongoing	122	55.6031021426	104	10	Dendrite	118.573879916,
L2D2_ongoing	177	86.6000467202	129	25	Dendrite	193.032279675,
L2D2_ongoing	201	86.5938334818	98	12	Dendrite	220.375061629,
L2D2_ongoing	396	57.5352249432	77	4	Dendrite	244.31069104,
L2D2_ongoing	584	76.3679612983	56	3	Dendrite	23.3135834211,
L2D2_ongoing	691	127.102180174	4	21	ApicalDendrite	146.393768628,
L2D2_ongoing	1164	27.7745781308	119	5	Dendrite	173.467722655,
L2D2_ongoing	1184	80.21965325	10	18	ApicalDendrite	109.416546029,
L2D2_ongoing	1197	96.8956094118	10	28	ApicalDendrite	139.529490367,
L2D2_ongoing	1281	136.089995653	4	25	ApicalDendrite	162.405828247,
L2D2_ongoing	1321	108.844900379	110	18	Dendrite	104.084946572,
L2D2_ongoing	1337	115.701068799	99	24	Dendrite	77.7957842785,
L2D2_ongoing	1427	117.484018874	104	39	Dendrite	152.284099316,
L2D2_ongoing	1568	181.930626122	29	16	ApicalDendrite	163.404864426,
L2D2_ongoing	1850	78.5528101688	87	0	Dendrite	112.874694432,
