# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	14	308.790201578	85	7	Dendrite	213.5822243,
L1D1	16	305.204624377	85	6	Dendrite	213.055658359,
L1D1	17	357.894941705	86	24	Dendrite	213.055658359,
L1D1	22	196.111627637	110	60	Dendrite	213.055658359,
L1D1_ongoing	5	215.187070735	95	18	Dendrite	75.6230118926,
L1D1_ongoing	13	327.582934032	85	13	Dendrite	73.8151419989,
L1D1_ongoing	18	264.375441408	96	33	Dendrite	57.508776965,204.108624609,
L1D1_ongoing	21	345.251371933	34	35	ApicalDendrite	150.056192791,
L1D1_ongoing	29	211.469245937	94	14	Dendrite	100.195837906,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	114.487330598,
L1D1_ongoing	39	217.602440516	44	56	ApicalDendrite	212.157917008,
L1D2_ongoing	17	41.9984208294	80	4	Dendrite	5.15976370352,
L1D2_ongoing	18	64.401442075	55	49	Dendrite	137.252070097,
L1D2_ongoing	28	145.932503088	44	39	ApicalDendrite	91.4503659997,
L1D2_ongoing	53	51.5274448681	112	3	Dendrite	23.0136472637,
L1D2_ongoing	57	163.886740981	113	53	Dendrite	124.564076761,
L1D2_ongoing	63	308.352766521	86	10	Dendrite	225.621316748,
L1D2_ongoing	68	220.757803574	45	66	ApicalDendrite	198.745302694,
L1D2_ongoing	69	136.31798043	13	38	ApicalDendrite	72.5504888687,
L1D2_ongoing	73	195.757698825	14	111	ApicalDendrite	12.5680100342,
L1D2_ongoing	80	118.974216335	58	5	Dendrite	189.848298428,
L1D2_ongoing	81	115.859227393	110	22	Dendrite	215.08265493,
L1D2_ongoing	87	99.5631378549	111	13	Dendrite	178.185912901,179.252564351,
L1D2_ongoing	88	128.407262621	111	27	Dendrite	189.456643917,
L1D2_ongoing	89	156.100369627	110	45	Dendrite	127.404997396,
L1D2_ongoing	94	169.212680549	91	53	Dendrite	64.8808224442,
L1D2_ongoing	96	242.796995291	44	65	ApicalDendrite	14.9589041007,
L1D2_ongoing	102	227.34907043	44	59	ApicalDendrite	150.277531837,
L1D2_ongoing	104	211.878368344	44	54	ApicalDendrite	61.2001753491,
L1D2_ongoing	110	66.9354069013	81	14	Dendrite	115.071776806,
L1D2_ongoing	142	276.641891789	96	38	Dendrite	152.375947853,
L1D2_ongoing	160	308.504774332	24	40	ApicalDendrite	84.3576315124,
L1D2_ongoing	164	309.826477477	24	41	ApicalDendrite	89.4778878975,
L1D2_ongoing	176	221.716176443	95	22	Dendrite	135.334335767,
L1D2_ongoing	191	130.273702518	7	55	ApicalDendrite	209.830281633,
L1D2_ongoing	202	197.053801344	94	6	Dendrite	186.591072454,
L1D2_ongoing	204	193.216559235	94	5	Dendrite	35.8188726323,
L1D2_ongoing	206	241.392841832	96	25	Dendrite	67.2650412501,
L1D2_ongoing	207	235.035492715	94	27	Dendrite	139.872800667,
L1D2_ongoing	213	227.033509596	94	23	Dendrite	246.492418293,
L1D2_ongoing	220	223.36390594	94	21	Dendrite	86.0108483193,
L1D2_ongoing	230	307.385274693	23	41	ApicalDendrite	146.280593691,
L1D2_ongoing	232	93.9633841363	113	18	Dendrite	18.3530431521,161.548699578,
L1D2_ongoing	233	118.368178128	113	31	Dendrite	153.585122611,
L1D2_ongoing	236	109.506883703	105	40	Dendrite	174.910564625,
L1D2_ongoing	239	145.572992139	68	26	Dendrite	79.4769560677,229.985903686,
L1D2_ongoing	243	214.05244586	45	63	ApicalDendrite	124.668566883,
L1D2_ongoing	245	304.105197592	34	20	ApicalDendrite	60.456493279,
L1D2_ongoing	251	282.982372924	84	98	Dendrite	207.094801163,
L1D2_ongoing	258	141.4262955	59	37	Dendrite	50.6402800023,
L1D2_ongoing	259	150.169017367	57	12	Dendrite	79.2466986376,
L1D2_ongoing	263	167.135002332	59	43	Dendrite	240.588094153,
L1D2_ongoing	265	161.049667243	59	41	Dendrite	74.4589006881,
L1D2_ongoing	268	48.280205519	7	11	ApicalDendrite	189.220239921,
L1D2_ongoing	269	107.483084507	110	17	Dendrite	193.378734628,
L1D2_ongoing	279	188.286505298	77	57	Dendrite	239.186550809,
L2D1	53	10.2811878912	130	2	Dendrite	210.886925249,
L2D1	55	89.6669095263	81	27	Dendrite	211.863672434,
L2D1	224	317.226608724	29	76	ApicalDendrite	213.1485223,
L2D1	235	75.0106001965	104	20	Dendrite	215.745735535,
L2D1	303	379.598884043	37	24	ApicalDendrite	210.886925249,
L2D1_ongoing	23	51.0960350564	53	5	Dendrite	199.4246834,
L2D1_ongoing	35	28.1814314739	130	8	Dendrite	77.7714770429,
L2D1_ongoing	188	285.884040887	36	38	ApicalDendrite	160.552243744,
L2D1_ongoing	252	408.685916876	29	108	ApicalDendrite	106.38633315,
L2D2	9	98.6846152612	7	38	ApicalDendrite	267.967242475,
L2D2	50	104.851345329	7	41	ApicalDendrite	298.372347915,
L2D2	53	125.603544521	13	33	ApicalDendrite	271.767202514,
L2D2	73	108.839313852	7	43	ApicalDendrite	211.424706899,
L2D2	74	120.577895209	81	43	Dendrite	278.278472707,
L2D2	86	33.6535918248	126	4	Dendrite	287.422760559,
L2D2	99	90.0738116003	105	33	Dendrite	293.23691916,
L2D2	107	63.5150333699	103	18	Dendrite	231.809573364,
L2D2	136	86.8433477723	105	29	Dendrite	281.002916779,
L2D2	162	68.9008234045	103	22	Dendrite	262.152816751,
L2D2	163	53.9603664654	103	11	Dendrite	290.475162647,
L2D2	171	67.6343254478	104	16	Dendrite	249.361943889,
L2D2	179	34.1976031415	105	3	Dendrite	226.236074187,
L2D2	187	88.8955836934	129	26	Dendrite	214.678939444,
L2D2	206	61.7084444334	103	17	Dendrite	220.588177157,
L2D2	243	51.4160771581	129	11	Dendrite	229.475557507,
L2D2	248	88.006411443	104	25	Dendrite	211.678628836,
L2D2	262	121.642083689	124	41	Dendrite	298.173368208,
L2D2	295	110.022204588	60	39	Dendrite	298.924606159,
L2D2	329	335.084948289	24	52	ApicalDendrite	298.622863108,
L2D2	338	122.03426355	111	23	Dendrite	257.172094301,
L2D2	368	50.0629912322	44	1	ApicalDendrite	287.422350234,
L2D2	386	35.3347945951	12	5	ApicalDendrite	229.581917842,
L2D2	408	17.1139898695	55	6	Dendrite	299.98004957,
L2D2	478	129.481437126	45	31	ApicalDendrite	232.051177192,
L2D2	495	122.923465115	14	70	ApicalDendrite	266.845158013,
L2D2	498	81.687966476	45	14	ApicalDendrite	211.578053376,
L2D2	559	141.533174173	57	10	Dendrite	234.918230565,
L2D2	560	78.6265897576	59	7	Dendrite	269.636458105,
L2D2	683	89.2614107567	103	33	Dendrite	272.782667862,
L2D2	689	34.1499653093	7	4	ApicalDendrite	270.501135025,
L2D2	718	86.8643433585	4	6	ApicalDendrite	222.772784369,
L2D2	759	69.353889234	124	20	Dendrite	229.799297777,
L2D2	789	46.2093761481	3	10	ApicalDendrite	219.879590929,
L2D2	819	54.3309202011	123	9	Dendrite	263.050446354,
L2D2	827	63.9936332531	127	10	Dendrite	230.58750011,
L2D2	858	100.137990927	4	12	ApicalDendrite	287.422350234,
L2D2	959	44.9249818803	127	0	Dendrite	270.501135025,
L2D2	962	59.3016741445	127	7	Dendrite	278.278472707,
L2D2	1014	102.822469902	21	2	ApicalDendrite	287.422350234,
L2D2	1020	102.3149185	84	14	Dendrite	249.361943889,
L2D2	1038	97.4252688289	70	22	Dendrite	298.372347915,
L2D2	1065	142.098748334	78	44	Dendrite	219.879590929,
L2D2	1111	127.040050862	60	47	Dendrite	269.636458105,
L2D2	1149	62.7353152113	118	17	Dendrite	214.678939444,
L2D2	1152	35.6212973036	129	3	Dendrite	220.588177157,
L2D2	1164	27.7745781308	119	5	Dendrite	263.050446354,
L2D2	1185	85.5840810101	9	21	ApicalDendrite	290.475162647,
L2D2	1188	116.732448505	10	38	ApicalDendrite	298.924606159,
L2D2	1276	319.688756525	36	60	ApicalDendrite	211.424706899,
L2D2	1280	99.9301617731	103	38	Dendrite	249.361943889,
L2D2	1289	106.569471444	103	42	Dendrite	298.924606159,
L2D2	1318	188.294066848	84	59	Dendrite	222.772784369,
L2D2	1324	75.8457805992	98	7	Dendrite	211.578053376,
L2D2	1332	70.8029748161	99	5	Dendrite	211.578053376,
L2D2	1342	111.960575355	110	20	Dendrite	231.809573364,
L2D2	1391	88.9432107732	123	24	Dendrite	272.782667862,
L2D2	1397	119.283776217	123	35	Dendrite	262.152816751,
L2D2	1409	126.094323952	104	43	Dendrite	269.636458105,
L2D2	1413	121.241080518	104	41	Dendrite	257.172094301,
L2D2	1451	60.016629929	10	10	ApicalDendrite	211.424706899,
L2D2	1478	19.4104127815	122	3	Dendrite	214.204546792,
L2D2	1485	6.24572812639	1	3	ApicalDendrite	298.622863108,
L2D2	1490	177.426584119	110	52	Dendrite	232.051177192,
L2D2	1493	99.0672178481	59	26	Dendrite	214.204546792,
L2D2	1503	109.417316404	77	27	Dendrite	273.486605818,
L2D2	1516	82.6469521041	44	15	ApicalDendrite	229.799297777,
L2D2	1550	154.988236921	42	21	ApicalDendrite	271.767202514,
L2D2	1553	167.064563074	31	1	ApicalDendrite	299.98004957,
L2D2	1634	317.064162948	86	11	Dendrite	272.782667862,
L2D2	1663	71.8520439547	123	17	Dendrite	249.361943889,
L2D2	1676	92.9687366673	131	21	Dendrite	267.967242475,
L2D2	1679	98.6160516341	124	34	Dendrite	232.051177192,
L2D2	1692	104.233750276	127	22	Dendrite	226.236074187,
L2D2	1705	116.88274489	127	27	Dendrite	270.501135025,
L2D2	1742	130.689514557	5	25	ApicalDendrite	229.799297777,
L2D2	1751	122.169952228	127	29	Dendrite	214.678939444,
L2D2	1752	93.8004873049	124	32	Dendrite	298.924606159,
L2D2	1773	112.793921454	127	26	Dendrite	269.636458105,
L2D2	1804	88.4578442066	124	30	Dendrite	214.204546792,
L2D2	1840	76.5321891063	88	11	Dendrite	262.152816751,
L2D2	1853	105.734722052	81	35	Dendrite	272.782667862,
L2D2	1867	96.2744242186	81	31	Dendrite	287.422350234,
L2D2	1875	59.194273223	14	4	ApicalDendrite	282.059645961,
L2D2	1884	50.7530065292	12	12	ApicalDendrite	229.475557507,
L2D2	1890	77.2577186127	14	24	ApicalDendrite	278.322660245,
L2D2	1891	91.567297641	81	29	Dendrite	270.501135025,
L2D2	1918	94.7216427582	13	19	ApicalDendrite	220.588177157,
L2D2	1969	91.5407524462	113	17	Dendrite	226.236074187,
L2D2	1970	90.7109060234	114	12	Dendrite	269.636458105,
L2D2	1976	59.9938127634	50	10	Dendrite	273.486605818,
L2D2	1989	131.768908857	51	36	Dendrite	230.58750011,
L2D2	2088	40.7706088314	117	9	Dendrite	262.152816751,
L2D2	2091	73.988456417	92	5	Dendrite	298.372347915,
L2D2	2106	99.2422172268	91	19	Dendrite	298.622863108,
L2D2	2136	122.515990676	91	32	Dendrite	278.322660245,
L2D2	2139	55.9191689875	112	5	Dendrite	299.98004957,
L2D2	2141	101.980753564	41	8	ApicalDendrite	219.879590929,
L2D2	2171	84.1550859356	42	2	ApicalDendrite	287.422350234,
L2D2	2183	49.7431014672	16	10	ApicalDendrite	272.782667862,
L2D2	2192	119.516784062	18	15	ApicalDendrite	232.051177192,
L2D2	2246	140.778358145	118	52	Dendrite	272.782667862,
L2D2	2266	107.180459237	69	20	Dendrite	287.422760559,
L2D2_ongoing	4	136.246472898	81	50	Dendrite	215.630994399,
L2D2_ongoing	54	113.585937434	7	45	ApicalDendrite	194.279587477,
L2D2_ongoing	74	120.577895209	81	43	Dendrite	169.64523055,
L2D2_ongoing	338	122.03426355	111	23	Dendrite	25.4158212351,
L2D2_ongoing	414	35.4017707958	43	1	ApicalDendrite	91.745313685,
L2D2_ongoing	528	148.06589131	58	15	Dendrite	224.514665333,
L2D2_ongoing	749	85.1278527814	103	31	Dendrite	108.986533033,
L2D2_ongoing	1064	131.238426873	41	16	ApicalDendrite	9.6637601881,
L2D2_ongoing	1217	308.785608674	33	20	ApicalDendrite	84.1134301662,
L2D2_ongoing	1221	142.142702401	71	14	Dendrite	53.7324672095,
L2D2_ongoing	1346	88.8775078807	111	9	Dendrite	209.147963075,
