# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	12	321.966331636	85	11	Dendrite	219.29878915,
L1D1_ongoing	7	281.808969523	96	40	Dendrite	19.0137310092,
L1D1_ongoing	15	299.251636044	85	4	Dendrite	99.3251221577,
L1D1_ongoing	16	305.204624377	85	6	Dendrite	35.5336189709,
L1D1_ongoing	23	315.85067255	23	45	ApicalDendrite	11.8912665608,199.834573887,
L1D1_ongoing	30	290.648964191	86	4	Dendrite	189.009053433,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	98.5724182591,138.26202718,
L1D1_ongoing	34	145.398590963	42	18	ApicalDendrite	167.199012796,
L1D1_ongoing	37	151.674736022	57	13	Dendrite	231.742741135,
L1D1_ongoing	39	217.602440516	44	56	ApicalDendrite	91.3472967482,241.386428565,
L1D1_ongoing	42	279.629535611	84	97	Dendrite	93.7343975454,
L1D2_ongoing	2	281.304975887	24	27	ApicalDendrite	66.1961439318,
L1D2_ongoing	6	264.375441408	96	33	Dendrite	198.689924537,
L1D2_ongoing	13	409.280764264	23	87	ApicalDendrite	52.7226705453,
L1D2_ongoing	16	371.430676504	23	71	ApicalDendrite	185.850467444,
L1D2_ongoing	17	41.9984208294	80	4	Dendrite	219.599992839,
L1D2_ongoing	18	64.401442075	55	49	Dendrite	204.23671837,
L1D2_ongoing	27	154.495980975	44	40	ApicalDendrite	50.7298966573,
L1D2_ongoing	38	159.959668842	92	39	Dendrite	72.1058268532,
L1D2_ongoing	41	118.386539572	72	3	Dendrite	20.3419607599,
L1D2_ongoing	42	67.6109361027	113	5	Dendrite	104.461602685,
L1D2_ongoing	43	63.0818159968	113	2	Dendrite	3.57753494637,
L1D2_ongoing	44	63.4689147886	109	11	Dendrite	162.761142569,
L1D2_ongoing	48	68.0654772927	91	3	Dendrite	99.0929306921,140.178311665,
L1D2_ongoing	58	178.444533986	58	24	Dendrite	6.91305509565,
L1D2_ongoing	62	343.99949933	86	19	Dendrite	143.608320507,
L1D2_ongoing	65	332.367917	85	15	Dendrite	65.8604372635,
L1D2_ongoing	66	337.091201147	85	16	Dendrite	42.4351609515,
L1D2_ongoing	78	95.7160188563	56	29	Dendrite	40.8091761679,
L1D2_ongoing	80	118.974216335	58	5	Dendrite	113.535869879,
L1D2_ongoing	81	115.859227393	110	22	Dendrite	2.94722693145,
L1D2_ongoing	88	128.407262621	111	27	Dendrite	183.701792716,
L1D2_ongoing	92	197.138642639	91	65	Dendrite	105.296830678,127.627545794,165.366770316,
L1D2_ongoing	96	242.796995291	44	65	ApicalDendrite	196.60655087,
L1D2_ongoing	98	241.926059381	44	64	ApicalDendrite	181.092022011,
